Study #,Number of Balls,D (pixels),W (pixels),Try #,Movement Time (ms),Index of Difficulty
1,20,200,20,1,1881,3.459
1,20,200,20,2,853,3.459
1,20,200,20,3,818,3.459
1,20,200,20,4,850,3.459
1,20,200,20,5,739,3.459
1,20,200,20,6,849,3.459
1,20,200,20,7,786,3.459
1,20,200,20,8,747,3.459
1,20,200,20,9,803,3.459
1,20,200,20,10,780,3.459
1,20,200,10,1,1012,4.392
1,20,200,10,2,984,4.392
1,20,200,10,3,849,4.392
1,20,200,10,4,926,4.392
1,20,200,10,5,815,4.392
1,20,200,10,6,823,4.392
1,20,200,10,7,858,4.392
1,20,200,10,8,1072,4.392
1,20,200,10,9,901,4.392
1,20,200,10,10,904,4.392
1,20,150,20,1,795,3.087
1,20,150,20,2,718,3.087
1,20,150,20,3,878,3.087
1,20,150,20,4,779,3.087
1,20,150,20,5,782,3.087
1,20,150,20,6,717,3.087
1,20,150,20,7,788,3.087
1,20,150,20,8,724,3.087
1,20,150,20,9,739,3.087
1,20,150,20,10,654,3.087
1,20,150,10,1,812,4.000
1,20,150,10,2,830,4.000
1,20,150,10,3,891,4.000
1,20,150,10,4,871,4.000
1,20,150,10,5,768,4.000
1,20,150,10,6,898,4.000
1,20,150,10,7,853,4.000
1,20,150,10,8,748,4.000
1,20,150,10,9,779,4.000
1,20,150,10,10,761,4.000
1,20,350,20,1,1020,4.209
1,20,350,20,2,902,4.209
1,20,350,20,3,829,4.209
1,20,350,20,4,939,4.209
1,20,350,20,5,1457,4.209
1,20,350,20,6,931,4.209
1,20,350,20,7,995,4.209
1,20,350,20,8,871,4.209
1,20,350,20,9,888,4.209
1,20,350,20,10,1218,4.209
1,20,350,10,1,1077,5.170
1,20,350,10,2,951,5.170
1,20,350,10,3,979,5.170
1,20,350,10,4,932,5.170
1,20,350,10,5,1044,5.170
1,20,350,10,6,1023,5.170
1,20,350,10,7,839,5.170
1,20,350,10,8,2017,5.170
1,20,350,10,9,1111,5.170
1,20,350,10,10,1103,5.170
2,20,200,20,1,578,3.459
2,20,200,20,2,680,3.459
2,20,200,20,3,673,3.459
2,20,200,20,4,848,3.459
2,20,200,20,5,697,3.459
2,20,200,20,6,615,3.459
2,20,200,20,7,593,3.459
2,20,200,20,8,710,3.459
2,20,200,20,9,737,3.459
2,20,200,20,10,687,3.459
2,20,200,10,1,563,4.392
2,20,200,10,2,800,4.392
2,20,200,10,3,712,4.392
2,20,200,10,4,873,4.392
2,20,200,10,5,897,4.392
2,20,200,10,6,926,4.392
2,20,200,10,7,761,4.392
2,20,200,10,8,928,4.392
2,20,200,10,9,783,4.392
2,20,200,10,10,697,4.392
2,20,150,20,1,890,3.087
2,20,150,20,2,767,3.087
2,20,150,20,3,672,3.087
2,20,150,20,4,769,3.087
2,20,150,20,5,1049,3.087
2,20,150,20,6,765,3.087
2,20,150,20,7,1233,3.087
2,20,150,20,8,729,3.087
2,20,150,20,9,600,3.087
2,20,150,20,10,641,3.087
2,20,150,10,1,1091,4.000
2,20,150,10,2,1048,4.000
2,20,150,10,3,1224,4.000
2,20,150,10,4,1193,4.000
2,20,150,10,5,1216,4.000
2,20,150,10,6,1128,4.000
2,20,150,10,7,1185,4.000
2,20,150,10,8,1145,4.000
2,20,150,10,9,1168,4.000
2,20,150,10,10,1024,4.000
2,20,350,20,1,1450,4.209
2,20,350,20,2,1320,4.209
2,20,350,20,3,1337,4.209
2,20,350,20,4,1271,4.209
2,20,350,20,5,1200,4.209
2,20,350,20,6,1215,4.209
2,20,350,20,7,1334,4.209
2,20,350,20,8,1153,4.209
2,20,350,20,9,1263,4.209
2,20,350,20,10,1144,4.209
2,20,350,10,1,1458,5.170
2,20,350,10,2,1543,5.170
2,20,350,10,3,1466,5.170
2,20,350,10,4,1400,5.170
2,20,350,10,5,1504,5.170
2,20,350,10,6,1513,5.170
2,20,350,10,7,1576,5.170
2,20,350,10,8,1407,5.170
2,20,350,10,9,1720,5.170
2,20,350,10,10,1569,5.170